"Title";"Student number";"Exam date"
"Rapport informele zorg";"3982769";"2015-11-30"
"De invloed van interetnisch contact op genderrolattitudes bij eerste en tweede generatie Marokkaanse en Turkse migranten in Nederland";"3894096";"2015-11-30"
"Het verband tussen muziekvoorkeur en seksuele attitudes apart voor jongens en meisjes.";"3923746";"2015-11-30"
"In hoeverre kan het verschil in criminaliteit tussen Marokkaanse en Turkse jongeren verklaard worden door de band die zij hebben met hun familie en in welke mate is het verschil afhankelijk van de eigen thuissituatie?";"3921735";"2015-11-30"
"Sociale uitsluiting in Nederland";"4006046";"2015-11-30"
"Voeding en geluk: een studie naar het verband tussen geluk, subjectieve gezondheid en de keuze voor het consumeren van gezonde voedingsmiddelen";"3792633";"2015-12-31"
"Werken met alleenstaande minderjarige vreemdelingen: hoe veilig voelt een medewerker zich?";"4012399";"2016-01-29"
"Grenzen aan solidariteit in de verzorgingsstaat";"3993272";"2016-01-29"
"(on)beperkt aan het werk";"3866963";"2016-01-29"
"Waar woorden en daden ontoereikend zijn, spreek muziek; Effect van een muzikaal interactief groepsoptreden op onrust bij dementerenden";"3994813";"2016-02-29"
"Sterke vrouwen, arme kinderen: over de representatie van armoede in de media";"4006682";"2016-02-29"
"Zelfpresentatie op Facebook onder mannen en vrouwen";"3627764";"2016-02-29"
"De rol van persoonlijkheids- en gezinsfactoren op ooit gebruik van cannabis onder 11- tot 16-jarige scholieren";"4026934";"2016-02-29"
"De vereiste competenties voor een succesvolle projectmanager";"3898229";"2016-02-29"
"De Relatie tussen Sociaal-economische Status en Cannabisgebruik onder Jongeren van het Voortgezet Onderwijs en de Modererende Rol van Gezinsstructuur.";"3748782";"2016-04-29"
"David vs Goliath anno nu: Runningtherapie vs Depressie";"3967867";"2016-04-29"
"Israeli and Palestinian Diasporas in the Netherlands: Their Political Involvement in the Current Israeli-Palestinian Conflict";"4016777";"2016-05-31"
"De relatie tussen gezinsvorm en het alcohol- en tabaksgebruik van adolescenten";"3946487";"2016-05-31"
"De relatie tussen flexibele arbeid en de ervaren belasting van mantelzorgers";"4024834";"2016-05-31"
"Television viewing and interethnic attitudes";"3850331";"2016-06-30"
"De relatie tussen het hebben van een chronisch ziek of gehandicapt brusje en emotionele en gedragsproblemen bij jongeren";"3948463";"2016-06-30"
